City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,manay,7.215,126.5397,75.27,88,100,4.09,PH,1714770812
387,chernyshevskiy,63.0128,112.4714,15.91,100,94,4.94,RU,1714770812
388,bhatapara,21.7333,81.9333,84.72,10,12,7.94,IN,1714770813
389,meadow lakes,61.6247,-149.6011,55.42,46,40,8.05,US,1714770813
390,xuddur,4.1213,43.8894,79.65,75,95,11.07,SO,1714770814
391,mogocha,53.7333,119.7667,32.2,72,100,3.74,RU,1714770814
392,taroa,8.7058,171.2275,81.86,87,47,20.45,MH,1714770815
393,bayanhongor,46.7167,100.1167,34.2,40,1,4.14,MN,1714770815
394,luderitz,-26.6481,15.1594,62.02,84,0,6.96,NA,1714770816
395,arvayheer,46.2639,102.775,38.95,60,0,2.82,MN,1714770816
396,vila do maio,15.1333,-23.2167,75.99,79,0,11.7,CV,1714770817
397,klyuchi,52.2667,79.1667,39.87,90,52,5.66,RU,1714770817
398,horqueta,-23.3428,-57.0597,75.79,77,77,7.31,PY,1714770818
399,selkirk,50.1436,-96.8845,53.15,91,100,10.07,CA,1714770818
400,zhanaozen,43.3,52.8,65.34,34,100,13.71,KZ,1714770819
401,weno,7.4515,151.8468,82.35,94,75,9.22,FM,1714770819
402,isla del bosque,22.7333,-105.85,80.56,57,36,10.51,MX,1714770819
403,pirallahi,40.4723,50.333,55.54,87,100,20.67,AZ,1714770820
404,tazacorte,28.629,-17.9293,67.17,88,75,10.36,ES,1714770820
405,brak,27.5496,14.2714,83.89,28,100,8.23,LY,1714770821
406,san julian,21.0167,-102.1667,90.09,9,12,14.54,MX,1714770821
407,pueblo,38.2545,-104.6091,81.48,21,0,3.44,US,1714770568
408,porbandar,21.6422,69.6093,80.74,88,86,9.17,IN,1714770822
409,brandon,27.9378,-82.2859,93.2,38,0,8.05,US,1714770823
410,umba,66.6871,34.3429,32.04,99,100,3.53,RU,1714770823
411,amga,60.8953,131.9608,34.86,99,100,2.08,RU,1714770824
412,ilabaya,-17.4208,-70.5133,70.45,64,71,6.44,PE,1714770824
413,guilin,25.2819,110.2864,66.78,98,100,1.36,CN,1714770824
414,filey,54.21,-0.2892,51.89,91,100,7.96,GB,1714770825
415,mwatate,-3.5029,38.3795,72.1,88,100,3.22,KE,1714770825
416,dhuusamarreeb,5.535,46.3861,74.68,90,100,18.59,SO,1714770826
417,boali,4.8005,18.1275,81.34,48,99,0.74,CF,1714770826
418,la paz,-16.5,-68.15,57.58,58,75,6.91,BO,1714770827
419,paimpol,48.7784,-3.0438,52.7,86,63,2.57,FR,1714770827
420,zuni pueblo,35.0725,-108.8506,72.23,17,4,16.11,US,1714770827
421,zabaykal'sk,49.6333,117.3167,45.93,44,54,19.51,RU,1714770828
422,robore,-18.3333,-59.75,89.42,41,80,8.05,BO,1714770828
423,meadow lake,34.8014,-106.5436,82.31,12,1,16.35,US,1714770829
424,kayangel,8.0823,134.7173,82.24,77,66,15.03,PW,1714770829
425,hovd,48.0056,91.6419,49.71,30,18,6.62,MN,1714770830
426,asker,59.8333,10.4372,55.58,51,100,0.54,NO,1714770830
427,nguigmi,14.2495,13.1092,87.67,26,4,5.75,NE,1714770830
428,vila franca do campo,37.7167,-25.4333,64.89,99,100,12.48,PT,1714770831
429,bredy,52.4153,60.3411,37.71,95,99,11.27,RU,1714770831
430,belomorsk,64.5232,34.7668,29.77,92,94,4.34,RU,1714770832
431,saldanha,-33.0117,17.9442,61.66,88,84,4.32,ZA,1714770832
432,el calafate,-50.3408,-72.2768,38.26,89,99,5.68,AR,1714770832
433,tawau,4.2498,117.8871,78.76,87,88,3.91,MY,1714770833
434,kingston,17.997,-76.7936,79.75,83,75,13.8,JM,1714770833
435,mezhdurechensk,53.6942,88.0603,41.88,94,55,2.46,RU,1714770834
436,san miguel zapotitlan,25.9333,-109.05,84.07,17,98,14.61,MX,1714770834
437,pauini,-7.7136,-66.9764,80.31,94,100,2.66,BR,1714770835
438,nungua,5.6011,-0.0771,84.42,77,97,10.38,GH,1714770836
439,tual,-5.6667,132.75,82.15,82,100,10.71,ID,1714770836
440,tamiahua,21.2667,-97.45,88.65,67,99,13.24,MX,1714770837
441,praya,14.9215,-23.5087,75.74,57,20,19.57,CV,1714770837
442,carolina beach,34.0352,-77.8936,82.47,76,100,9.8,US,1714770837
443,lubao,14.9167,120.55,80.31,77,68,2.68,PH,1714770838
444,letlhakane,-21.4167,25.5833,67.66,48,0,16.06,BW,1714770838
445,sinop,41.7711,34.8709,50.83,85,97,3.8,TR,1714770839
446,yarmouth,41.7057,-70.2286,55.96,76,0,11.5,US,1714770839
447,xining,36.6167,101.7667,42.58,83,97,3.83,CN,1714770839
448,nueve de julio,-35.4444,-60.8831,56.97,53,70,1.99,AR,1714770686
449,freyung,48.8,13.55,49.32,85,100,3.49,DE,1714770840
450,ranchettes,41.2186,-104.7903,51.51,42,40,21.85,US,1714770841
451,blois,47.5833,1.3333,52.18,97,43,7.9,FR,1714770841
452,nouadhibou,20.931,-17.0347,63.48,87,0,20.49,MR,1714770842
453,tauranga,-37.6861,176.1667,54.64,77,0,1.99,NZ,1714770574
454,tucano,-10.9631,-38.7867,77.45,78,41,6.69,BR,1714770843
455,sabzevar,36.2126,57.6819,61.63,66,3,4.54,IR,1714770843
456,champerico,14.3,-91.9167,97.34,66,9,16.37,GT,1714770844
457,manokwari,-0.8667,134.0833,79.72,76,72,3.67,ID,1714770844
458,illizi,26.4833,8.4667,94.8,34,100,13.44,DZ,1714770844
459,livingstone,-17.8419,25.8543,59.79,26,10,2.66,ZM,1714770845
